DATE,SFXRLTNSA
2005-03-01,242.27112999999997
2005-04-01,246.8573
2005-05-01,251.30908
2005-06-01,256.51257000000004
2005-07-01,261.38007999999996
2005-08-01,264.34146
2005-09-01,267.13277999999997
2005-10-01,268.72364
2005-11-01,270.07376
2005-12-01,269.93931000000003
2006-01-01,269.95977
2006-02-01,270.70416
2006-03-01,271.69721
2006-04-01,273.36174
2006-05-01,274.91286
2006-06-01,275.60375
2006-07-01,275.98258
2006-08-01,276.1308
2006-09-01,273.80794
2006-10-01,271.34077
2006-11-01,270.7115
2006-12-01,269.13454
2007-01-01,269.67171
2007-02-01,265.86303
2007-03-01,262.11297
2007-04-01,259.6364
2007-05-01,257.03741
2007-06-01,253.22329
2007-07-01,249.60401000000002
2007-08-01,243.44832000000002
2007-09-01,237.7051
2007-10-01,225.15102000000002
2007-11-01,213.15689
2007-12-01,200.96437
2008-01-01,192.1197
2008-02-01,180.70001000000002
2008-03-01,171.1774
2008-04-01,163.17941000000002
2008-05-01,157.25781
2008-06-01,152.81838
2008-07-01,146.4857
2008-08-01,139.4385
2008-09-01,135.10852
2008-10-01,130.36001000000002
2008-11-01,127.49523
2008-12-01,122.63513999999999
2009-01-01,116.81641
2009-02-01,112.53325
2009-03-01,107.46242
2009-04-01,105.44471999999999
2009-05-01,104.96106999999999
2009-06-01,105.84681
2009-07-01,107.84277
2009-08-01,111.03566000000001
2009-09-01,113.616
2009-10-01,114.78585
2009-11-01,116.28178999999999
2009-12-01,118.27253
2010-01-01,119.04178999999999
2010-02-01,118.53142
2010-03-01,118.45246999999999
2010-04-01,118.07971
2010-05-01,120.53468000000001
2010-06-01,121.46281
2010-07-01,124.14535
2010-08-01,122.43786000000001
2010-09-01,121.73225
2010-10-01,120.07683999999999
2010-11-01,118.09303
2010-12-01,115.62966000000002
2011-01-01,114.67206000000002
2011-02-01,113.03298999999998
2011-03-01,111.97863999999998
2011-04-01,111.67273
2011-05-01,112.91588999999999
2011-06-01,113.45096000000001
2011-07-01,114.37201
2011-08-01,112.62342
2011-09-01,110.1397
2011-10-01,109.09702
2011-11-01,109.30928
2011-12-01,110.26706999999999
2012-01-01,109.48593999999999
2012-02-01,109.43132
2012-03-01,108.48103
2012-04-01,109.90625
2012-05-01,112.60051000000001
2012-06-01,115.15357
2012-07-01,117.97519
2012-08-01,121.0964
2012-09-01,123.52434
2012-10-01,125.50025
2012-11-01,128.63466
2012-12-01,130.7748
2013-01-01,132.26308999999998
2013-02-01,132.9953
2013-03-01,136.40048000000002
