DATE,LVXRNSA
2005-05-01,217.27812000000003
2005-06-01,219.86597000000003
2005-07-01,221.92709
2005-08-01,224.51485
2005-09-01,226.58901
2005-10-01,227.80856
2005-11-01,228.76754
2005-12-01,229.41521
2006-01-01,230.48451
2006-02-01,231.93601
2006-03-01,232.38072999999997
2006-04-01,233.78192
2006-05-01,234.38816
2006-06-01,233.75331
2006-07-01,234.2931
2006-08-01,234.78127999999998
2006-09-01,234.70556000000002
2006-10-01,233.80422000000002
2006-11-01,232.56269
2006-12-01,231.57448
2007-01-01,230.52389
2007-02-01,229.64316000000002
2007-03-01,228.5508
2007-04-01,226.65334
2007-05-01,224.79324
2007-06-01,221.86108
2007-07-01,219.91496
2007-08-01,216.82516
2007-09-01,213.4659
2007-10-01,208.67707
2007-11-01,201.95161000000002
2007-12-01,196.0508
2008-01-01,186.04545
2008-02-01,177.18129
2008-03-01,169.30933000000002
2008-04-01,165.70864
2008-05-01,161.10083999999998
2008-06-01,158.79727
2008-07-01,154.6382
2008-08-01,150.93274
2008-09-01,146.86102
2008-10-01,142.73733000000001
2008-11-01,138.04038
2008-12-01,131.39677
2009-01-01,125.67753
2009-02-01,121.10891000000001
2009-03-01,116.52501000000001
2009-04-01,112.40055
2009-05-01,109.49698000000001
2009-06-01,107.30527
2009-07-01,106.07523
2009-08-01,105.78463
2009-09-01,104.82196
2009-10-01,104.70518
2009-11-01,104.21883000000001
2009-12-01,104.3785
2010-01-01,103.82337
2010-02-01,103.39532
2010-03-01,102.58185999999999
2010-04-01,102.8237
2010-05-01,102.34629
2010-06-01,101.76826
2010-07-01,100.91452
2010-08-01,101.02789
2010-09-01,101.18032
2010-10-01,100.97185
2010-11-01,100.59056
2010-12-01,99.47729100000001
2011-01-01,99.23498199999999
2011-02-01,98.283286
2011-03-01,97.175565
2011-04-01,96.469336
2011-05-01,95.59687
2011-06-01,95.671187
2011-07-01,95.476399
2011-08-01,95.183774
2011-09-01,93.795454
2011-10-01,92.363388
2011-11-01,91.411644
2011-12-01,90.697346
2012-01-01,90.237503
2012-02-01,89.87751999999999
2012-03-01,89.866617
2012-04-01,90.838355
2012-05-01,92.549873
2012-06-01,93.940188
2012-07-01,94.571634
2012-08-01,96.034763
2012-09-01,97.381598
2012-10-01,100.13857
2012-11-01,100.56473000000001
2012-12-01,102.41301999999999
2013-01-01,104.03636
2013-02-01,105.46393
2013-03-01,108.36097
2013-04-01,111.05498999999999
2013-05-01,114.0882
2013-06-01,117.2847
2013-07-01,120.57853
2013-08-01,124.08797
2013-09-01,125.73956000000001
2013-10-01,127.23369
2013-11-01,128.00173
2013-12-01,128.52851
2014-01-01,129.9307
2014-02-01,129.85155
2014-03-01,131.326639926276
2014-04-01,131.910229421003
2014-05-01,133.33227810946198
2014-06-01,135.020969419429
2014-07-01,135.897096141793
2014-08-01,136.64141077801
2014-09-01,137.067807978559
2014-10-01,137.134456501905
2014-11-01,137.55255539351901
2014-12-01,137.308119240836
2015-01-01,137.53885105174498
2015-02-01,137.276440082513
2015-03-01,138.74559987222798
2015-04-01,140.092973485892
2015-05-01,142.119828164205
2015-06-01,143.142053651958
2015-07-01,144.407307976844
2015-08-01,144.884213247219
2015-09-01,144.96800190340798
2015-10-01,144.830521732562
2015-11-01,144.715636255519
2015-12-01,145.33657299326902
2016-01-01,145.68535431480302
2016-02-01,146.155611232405
2016-03-01,147.061505105067
2016-04-01,148.51153510892001
2016-05-01,150.307250340096
2016-06-01,151.384555246808
2016-07-01,152.27620126272498
2016-08-01,152.240465153367
2016-09-01,153.060338076208
2016-10-01,152.88098784132902
2016-11-01,153.34003476265
2016-12-01,153.735461315464
2017-01-01,154.777311575928
2017-02-01,155.32647522060302
2017-03-01,156.542240566234
2017-04-01,158.539298977374
2017-05-01,160.73270217187002
2017-06-01,162.380969555852
2017-07-01,163.652202545421
2017-08-01,165.275594413846
2017-09-01,166.872004646199
2017-10-01,168.38028780821801
2017-11-01,169.565402791722
2017-12-01,170.857842570793
