DATE,LXXRLTNSA
2005-03-01,261.76953
2005-04-01,267.76851
2005-05-01,274.37801
2005-06-01,281.87138
2005-07-01,288.80255
2005-08-01,295.69122999999996
2005-09-01,302.93003
2005-10-01,309.04424
2005-11-01,313.28647
2005-12-01,316.25309
2006-01-01,319.4744
2006-02-01,323.18653
2006-03-01,327.01704
2006-04-01,330.23652000000004
2006-05-01,332.90578
2006-06-01,334.95721000000003
2006-07-01,337.40241000000003
2006-08-01,338.66539
2006-09-01,339.7777
2006-10-01,339.74024
2006-11-01,339.80557999999996
2006-12-01,338.60742
2007-01-01,338.3768
2007-02-01,337.32346
2007-03-01,335.90193
2007-04-01,333.52179
2007-05-01,331.30102
2007-06-01,326.66546
2007-07-01,324.67764
2007-08-01,319.50161
2007-09-01,313.4315
2007-10-01,302.70825
2007-11-01,289.93012999999996
2007-12-01,277.47596
2008-01-01,265.2759
2008-02-01,251.85063
2008-03-01,235.06001
2008-04-01,225.12752000000003
2008-05-01,215.75337000000002
2008-06-01,208.82977
2008-07-01,202.13699
2008-08-01,196.28202
2008-09-01,190.96066000000002
2008-10-01,185.1836
2008-11-01,180.2598
2008-12-01,173.87913999999998
2009-01-01,167.97171
2009-02-01,162.97839
2009-03-01,158.69075
2009-04-01,153.84638999999999
2009-05-01,150.18587
2009-06-01,147.90332
2009-07-01,148.50568
2009-08-01,150.62271
2009-09-01,152.67702
2009-10-01,154.77891
2009-11-01,157.78406
2009-12-01,160.62052
2010-01-01,162.45643
2010-02-01,161.70647
2010-03-01,160.97378999999998
2010-04-01,163.35916
2010-05-01,167.70717
2010-06-01,169.36793
2010-07-01,168.76897
2010-08-01,167.19458
2010-09-01,167.29287
2010-10-01,167.66115
2010-11-01,167.67466000000002
2010-12-01,165.53793000000002
2011-01-01,164.18164
2011-02-01,162.97914
2011-03-01,162.99509
2011-04-01,163.09593999999998
2011-05-01,163.25484
2011-06-01,161.9195
2011-07-01,161.34852
2011-08-01,160.81197
2011-09-01,160.15363
2011-10-01,158.89303999999998
2011-11-01,158.59645
2011-12-01,157.67206000000002
2012-01-01,157.40591
2012-02-01,155.20385
2012-03-01,153.59008
2012-04-01,153.98248
2012-05-01,157.20703
2012-06-01,160.92095
2012-07-01,163.7803
2012-08-01,167.09963
2012-09-01,169.65372
2012-10-01,173.08351000000002
2012-11-01,175.24938
2012-12-01,177.51163
2013-01-01,180.30356
2013-02-01,180.78087
2013-03-01,186.30312
2013-04-01,192.77172
2013-05-01,199.31928
