DATE,SFXRMTNSA
2005-04-01,207.87646999999998
2005-05-01,211.42193999999998
2005-06-01,215.23646000000002
2005-07-01,216.98672000000002
2005-08-01,218.56232999999997
2005-09-01,219.30002000000002
2005-10-01,220.02298
2005-11-01,219.79428
2005-12-01,218.96961000000002
2006-01-01,218.50402999999997
2006-02-01,218.56895
2006-03-01,220.51133
2006-04-01,222.28107000000003
2006-05-01,222.7477
2006-06-01,222.58763
2006-07-01,221.63717999999997
2006-08-01,221.29612000000003
2006-09-01,219.87122000000002
2006-10-01,218.73917999999998
2006-11-01,216.20344
2006-12-01,215.88772999999998
2007-01-01,216.10102999999998
2007-02-01,215.38839
2007-03-01,214.64151
2007-04-01,214.90887999999998
2007-05-01,214.76223
2007-06-01,212.63022999999998
2007-07-01,210.83017
2007-08-01,209.5346
2007-09-01,207.55363
2007-10-01,202.88541999999998
2007-11-01,197.80386000000001
2007-12-01,189.84323999999998
2008-01-01,181.7971
2008-02-01,171.09926000000002
2008-03-01,163.40815
2008-04-01,159.71026
2008-05-01,158.70438000000001
2008-06-01,157.77156000000002
2008-07-01,157.74485
2008-08-01,154.33418
2008-09-01,150.98432
2008-10-01,146.9701
2008-11-01,144.61563
2008-12-01,140.94197
2009-01-01,136.74168999999998
2009-02-01,132.71731
2009-03-01,129.39831999999998
2009-04-01,128.5153
2009-05-01,129.7461
2009-06-01,133.33026
2009-07-01,135.11289
2009-08-01,137.58571
2009-09-01,139.14792
2009-10-01,141.76286000000002
2009-11-01,143.4449
2009-12-01,143.32883
2010-01-01,141.67116000000001
2010-02-01,141.25743
2010-03-01,140.98272
2010-04-01,142.60261
2010-05-01,146.27911
2010-06-01,146.29358
2010-07-01,148.06471000000002
2010-08-01,146.25466
2010-09-01,145.52908
2010-10-01,142.27238
2010-11-01,140.73647
2010-12-01,138.91899999999998
2011-01-01,135.72798
2011-02-01,132.38295
2011-03-01,130.43376999999998
2011-04-01,131.90931
2011-05-01,133.67465
2011-06-01,134.44613
2011-07-01,133.14578999999998
2011-08-01,132.2803
2011-09-01,130.7959
2011-10-01,130.7655
2011-11-01,128.68431
2011-12-01,129.03163
2012-01-01,127.75353
2012-02-01,127.45838
2012-03-01,128.25359
2012-04-01,130.94431
2012-05-01,134.98485
2012-06-01,137.68795
2012-07-01,140.70122
2012-08-01,141.97034
2012-09-01,144.44351
2012-10-01,144.77715
2012-11-01,146.36363
2012-12-01,146.37456
2013-01-01,148.73952
2013-02-01,151.41273999999999
2013-03-01,158.39223
2013-04-01,164.97318
2013-05-01,171.82744
2013-06-01,176.46768
2013-07-01,180.89342
2013-08-01,182.62559
2013-09-01,183.40861999999998
2013-10-01,183.71345
2013-11-01,183.36364
2013-12-01,182.36641
2014-01-01,181.36643999999998
2014-02-01,182.58086
2014-03-01,186.44050416563
2014-04-01,190.62567320804501
2014-05-01,193.271663214958
2014-06-01,196.52416927219102
2014-07-01,195.961187862147
2014-08-01,196.88187151678298
2014-09-01,196.130811789632
2014-10-01,198.29390565137
2014-11-01,198.37409459258498
2014-12-01,199.229744902794
2015-01-01,197.94191503093998
2015-02-01,199.972444546393
2015-03-01,206.648466081335
2015-04-01,211.49204589789798
2015-05-01,215.02187675606098
2015-06-01,216.742593073738
2015-07-01,218.47003892879502
2015-08-01,218.85364140968898
2015-09-01,219.49244792928602
2015-10-01,218.98536692008201
2015-11-01,219.448310081177
2015-12-01,219.81444781029998
2016-01-01,219.658216981718
2016-02-01,221.145350491434
2016-03-01,225.814018886856
2016-04-01,229.639836288263
2016-05-01,230.90001285105203
2016-06-01,232.384676978704
2016-07-01,232.640880080379
2016-08-01,232.758119177672
2016-09-01,230.394025156044
2016-10-01,231.158572233321
2016-11-01,232.69933468938402
2016-12-01,234.566592809836
2017-01-01,235.034012904062
2017-02-01,236.51694280919602
2017-03-01,239.28795706448898
2017-04-01,241.41996687261502
2017-05-01,244.777930624165
2017-06-01,248.22111633228198
2017-07-01,249.82694983326098
2017-08-01,251.27123673663502
2017-09-01,251.09670232038897
2017-10-01,254.386673239085
2017-11-01,255.818217377
2017-12-01,258.17404556630004
