DATE,MIXRNSA
1987-01-01,66.660063079613
1987-02-01,67.001722076334
1987-03-01,67.21226915301601
1987-04-01,67.351761785724
1987-05-01,67.704733503661
1987-06-01,67.161858977293
1987-07-01,67.40503699409601
1987-08-01,67.284440491234
1987-09-01,68.112881384387
1987-10-01,68.531472610891
1987-11-01,68.884652459847
1987-12-01,69.064001571895
1988-01-01,69.343584330638
1988-02-01,69.40423566621399
1988-03-01,69.759196968449
1988-04-01,70.191522123895
1988-05-01,70.579399792874
1988-06-01,70.86436310182201
1988-07-01,71.320499881005
1988-08-01,71.632611386584
1988-09-01,72.147841553423
1988-10-01,72.47229218749699
1988-11-01,72.872742067354
1988-12-01,73.155018274459
1989-01-01,73.115352296889
1989-02-01,73.439173849837
1989-03-01,74.11564447418199
1989-04-01,74.25233001647
1989-05-01,74.278209656694
1989-06-01,74.689580262627
1989-07-01,75.029341793636
1989-08-01,75.14076277619199
1989-09-01,74.912361103055
1989-10-01,75.012045903128
1989-11-01,75.298665307865
1989-12-01,75.75468699740401
1990-01-01,76.090127940451
1990-02-01,76.170995489996
1990-03-01,75.950195213548
1990-04-01,76.095610169197
1990-05-01,76.328475695713
1990-06-01,76.642545074503
1990-07-01,76.628453976973
1990-08-01,76.870860371777
1990-09-01,76.96076555054499
1990-10-01,77.067178398347
1990-11-01,76.501764719251
1990-12-01,76.233138959095
1991-01-01,76.219278507726
1991-02-01,76.46319304465
1991-03-01,76.423343666774
1991-04-01,76.148797380724
1991-05-01,75.242283267951
1991-06-01,75.931044489445
1991-07-01,76.407050721416
1991-08-01,77.283975168003
1991-09-01,77.475272090723
1991-10-01,77.308493592546
1991-11-01,77.288661085187
1991-12-01,77.020184411838
1992-01-01,77.096918708269
1992-02-01,77.160987772477
1992-03-01,77.229007169513
1992-04-01,78.074635011394
1992-05-01,78.28917255559901
1992-06-01,78.83623040673801
1992-07-01,77.040592604909
1992-08-01,76.78235571835
1992-09-01,76.318527814185
1992-10-01,78.008025742427
1992-11-01,78.462471076135
1992-12-01,79.039154092548
1993-01-01,79.311610538318
1993-02-01,79.406607286296
1993-03-01,79.45590199160999
1993-04-01,79.522357207011
1993-05-01,79.825104571183
1993-06-01,80.568522206603
1993-07-01,81.03986901444199
1993-08-01,81.52287404019
1993-09-01,81.75388526381799
1993-10-01,81.82785889363599
1993-11-01,82.016175786923
1993-12-01,82.657165981499
1994-01-01,83.21870290299
1994-02-01,84.04792114566901
1994-03-01,84.94374003801501
1994-04-01,85.098660760239
1994-05-01,85.312653698477
1994-06-01,85.218891110057
1994-07-01,85.594464598081
1994-08-01,85.572879697182
1994-09-01,85.51764445974301
1994-10-01,85.809904344156
1994-11-01,86.198776448804
1994-12-01,86.48860076834299
1995-01-01,86.559550662013
1995-02-01,86.42319191703301
1995-03-01,86.486646826704
1995-04-01,86.65673396855301
1995-05-01,87.049142379609
1995-06-01,87.36506163745399
1995-07-01,87.342024091435
1995-08-01,87.57412379107402
1995-09-01,87.613208294372
1995-10-01,87.921601091157
1995-11-01,87.919722106835
1995-12-01,88.017225069059
1996-01-01,88.051963391141
1996-02-01,88.231671825825
1996-03-01,88.299392356377
1996-04-01,88.70681889897
1996-05-01,89.330299176974
1996-06-01,89.037518909121
1996-07-01,88.96134908164301
1996-08-01,88.962401359371
1996-09-01,89.374251417353
1996-10-01,89.48016065955099
1996-11-01,89.23321432635599
1996-12-01,89.15316133619801
1997-01-01,89.51075124536301
1997-02-01,89.73842741485599
1997-03-01,89.409010974184
1997-04-01,89.80057443658501
1997-05-01,89.82759477323499
1997-06-01,90.06069060728599
1997-07-01,90.409043029998
1997-08-01,90.610050991709
1997-09-01,90.67052706872101
1997-10-01,90.869885688017
1997-11-01,91.48015293373001
1997-12-01,91.62735332512199
1998-01-01,91.905132617912
1998-02-01,91.877780198503
1998-03-01,92.07016141265
1998-04-01,91.976024234242
1998-05-01,92.434388744671
1998-06-01,93.030966872226
1998-07-01,93.832036118291
1998-08-01,93.91633278115499
1998-09-01,94.257226740061
1998-10-01,94.45803186126699
1998-11-01,94.601009936868
1998-12-01,94.710519539243
1999-01-01,94.701816589397
1999-02-01,95.20760863890101
1999-03-01,95.475843980497
1999-04-01,95.920183664059
1999-05-01,96.520553901842
1999-06-01,96.59606873442199
1999-07-01,97.20537543814301
1999-08-01,97.554706356576
1999-09-01,97.872628614041
1999-10-01,98.035045348696
1999-11-01,98.524014693223
1999-12-01,99.234597411526
2000-01-01,99.880715177645
2000-02-01,100.411411812514
2000-03-01,101.23186893827
2000-04-01,101.803632900916
2000-05-01,102.502526992389
2000-06-01,103.139792923701
2000-07-01,103.430882498141
2000-08-01,104.006795219846
2000-09-01,104.98233745229
2000-10-01,105.95773792556801
2000-11-01,107.378582449487
2000-12-01,107.774405660146
2001-01-01,108.905550329559
2001-02-01,109.830211512231
2001-03-01,111.04994005007299
2001-04-01,112.541280044362
2001-05-01,113.411569398795
2001-06-01,114.88013482752899
2001-07-01,116.190283479809
2001-08-01,117.430879885219
2001-09-01,118.66449261152901
2001-10-01,120.25946835256
2001-11-01,121.83626915028
2001-12-01,123.362204988868
2002-01-01,124.42407491815901
2002-02-01,125.743141178106
2002-03-01,126.616043325252
2002-04-01,128.40563371026002
2002-05-01,129.742431107969
2002-06-01,131.02671171209101
2002-07-01,132.69528668620399
2002-08-01,134.43540543628401
2002-09-01,136.46579203978902
2002-10-01,138.368174447241
2002-11-01,140.348902492292
2002-12-01,142.560462223232
2003-01-01,145.070329561764
2003-02-01,147.14049889985301
2003-03-01,149.187943239429
