DATE,NYXRHTNSA
2005-04-01,179.07433999999998
2005-05-01,180.42897
2005-06-01,181.82443999999998
2005-07-01,183.93166000000002
2005-08-01,186.23417
2005-09-01,188.25611
2005-10-01,190.0837
2005-11-01,191.78472
2005-12-01,193.0437
2006-01-01,192.82967
2006-02-01,192.70821999999998
2006-03-01,191.6767
2006-04-01,192.01462
2006-05-01,192.59094
2006-06-01,193.23619
2006-07-01,192.93097
2006-08-01,192.30101000000002
2006-09-01,192.03883000000002
2006-10-01,191.36336
2006-11-01,190.5996
2006-12-01,188.41113
2007-01-01,186.90912
2007-02-01,186.54905
2007-03-01,187.63057
2007-04-01,188.56503
2007-05-01,188.87511999999998
2007-06-01,189.86938
2007-07-01,190.14245
2007-08-01,190.10466
2007-09-01,189.54606
2007-10-01,188.59444
2007-11-01,186.90451000000002
2007-12-01,184.26861
2008-01-01,183.04121999999998
2008-02-01,181.21416000000002
2008-03-01,179.98103999999998
2008-04-01,178.8705
2008-05-01,178.99363
2008-06-01,180.62255
2008-07-01,180.36813
2008-08-01,180.56995
2008-09-01,179.09577
2008-10-01,177.13494
2008-11-01,174.33296
2008-12-01,170.53536
2009-01-01,168.03894
2009-02-01,164.91493
2009-03-01,162.48313000000002
2009-04-01,159.87747
2009-05-01,161.28856000000002
2009-06-01,162.5041
2009-07-01,163.99212
2009-08-01,164.62923
2009-09-01,163.78976
2009-10-01,163.55763000000002
2009-11-01,161.52781000000002
2009-12-01,161.16378999999998
2010-01-01,160.62312
2010-02-01,160.61596
2010-03-01,160.18866
2010-04-01,160.52834
2010-05-01,162.60358
2010-06-01,164.5787
2010-07-01,166.52738
2010-08-01,166.77283
2010-09-01,166.13485
2010-10-01,163.43738000000002
2010-11-01,161.32922
2010-12-01,159.81278
2011-01-01,158.21163
2011-02-01,156.77567
2011-03-01,155.53461000000001
2011-04-01,157.85931000000002
2011-05-01,159.52353
2011-06-01,161.10813000000002
2011-07-01,163.30153
2011-08-01,163.93143
2011-09-01,163.76273999999998
2011-10-01,161.50378999999998
2011-11-01,158.38409
2011-12-01,155.53115
2012-01-01,153.958
2012-02-01,153.20584
2012-03-01,152.0326
2012-04-01,152.42514
2012-05-01,154.53826999999998
2012-06-01,157.85644
2012-07-01,159.37425
2012-08-01,160.3003
2012-09-01,160.03531
2012-10-01,159.39977
2012-11-01,157.07127
2012-12-01,156.37361
2013-01-01,155.85906
2013-02-01,156.16665
2013-03-01,154.64573000000001
2013-04-01,156.08393
2013-05-01,158.32218999999998
2013-06-01,161.63356000000002
2013-07-01,163.8695
2013-08-01,165.60142
2013-09-01,166.52407
2013-10-01,166.86221
2013-11-01,166.68939
2013-12-01,165.95353
2014-01-01,165.93124
2014-02-01,165.49033
2014-03-01,165.210917820333
2014-04-01,165.395047931614
2014-05-01,166.750940815336
2014-06-01,169.02089425359898
2014-07-01,170.624214411486
2014-08-01,171.177920795997
2014-09-01,170.81275085537501
2014-10-01,170.04258825576
2014-11-01,168.23173178174298
2014-12-01,167.896363077365
2015-01-01,167.979849432353
2015-02-01,168.584238390379
2015-03-01,168.764566577507
2015-04-01,169.649693514391
2015-05-01,170.632637135763
2015-06-01,172.557600076984
2015-07-01,173.58654698060502
2015-08-01,174.41007299768998
2015-09-01,173.854387662914
2015-10-01,173.282929217166
2015-11-01,172.563819634957
2015-12-01,172.354050906953
2016-01-01,172.4108945473
2016-02-01,171.889504518088
2016-03-01,171.34923159891702
2016-04-01,171.90936226039398
2016-05-01,172.303729028806
2016-06-01,174.14679462436402
2016-07-01,175.687850962855
2016-08-01,176.396266414819
2016-09-01,176.26402769396302
2016-10-01,175.036171917481
2016-11-01,174.945198696469
2016-12-01,174.50449719601002
2017-01-01,175.280128717291
2017-02-01,175.199713147196
2017-03-01,176.254113445595
2017-04-01,177.129647835386
2017-05-01,177.864715750513
2017-06-01,178.75247478873402
2017-07-01,180.432671802697
2017-08-01,181.49325266497502
2017-09-01,182.671020527873
2017-10-01,182.652371602477
2017-11-01,182.155216402609
2017-12-01,181.91612411601002
