DATE,LXXRNSA
2005-05-01,236.67652999999999
2005-06-01,241.69702
2005-07-01,246.36617
2005-08-01,251.09562000000003
2005-09-01,255.84527000000003
2005-10-01,260.15581000000003
2005-11-01,262.56457
2005-12-01,264.76966
2006-01-01,265.92041
2006-02-01,267.74606
2006-03-01,268.23174
2006-04-01,270.43792
2006-05-01,272.12391
2006-06-01,273.21757
2006-07-01,273.84899
2006-08-01,273.80133
2006-09-01,273.93983
2006-10-01,273.6625
2006-11-01,273.05079
2006-12-01,270.02539
2007-01-01,268.68161000000003
2007-02-01,266.62676
2007-03-01,264.5839
2007-04-01,263.36574
2007-05-01,263.18858
2007-06-01,262.12342
2007-07-01,260.84047000000004
2007-08-01,258.07131
2007-09-01,254.7869
2007-10-01,249.49995
2007-11-01,240.42612999999997
2007-12-01,233.02667999999997
2008-01-01,224.41481000000002
2008-02-01,214.83112999999997
2008-03-01,207.11192
2008-04-01,202.44507
2008-05-01,198.53645
2008-06-01,195.70396000000002
2008-07-01,192.55158
2008-08-01,189.17581
2008-09-01,184.53907
2008-10-01,179.82182
2008-11-01,175.85446000000002
2008-12-01,171.39539
2009-01-01,166.54672
2009-02-01,163.16561000000002
2009-03-01,160.88504
2009-04-01,159.37386999999998
2009-05-01,159.17623
2009-06-01,160.90125
2009-07-01,163.97128999999998
2009-08-01,166.62116
2009-09-01,168.03293
2009-10-01,168.43423
2009-11-01,169.71902
2009-12-01,171.38477
2010-01-01,172.96527
2010-02-01,171.80517
2010-03-01,170.60996
2010-04-01,171.7779
2010-05-01,174.67363
2010-06-01,175.65784
2010-07-01,176.27129
2010-08-01,175.55238
2010-09-01,175.36219
2010-10-01,174.04512
2010-11-01,173.28247
2010-12-01,170.99312
2011-01-01,169.88096000000002
2011-02-01,168.23181
2011-03-01,167.74768999999998
2011-04-01,168.18001
2011-05-01,169.07171
2011-06-01,169.65908000000002
2011-07-01,170.04883
2011-08-01,169.37767
2011-09-01,168.00375
2011-10-01,165.50743
2011-11-01,163.92773
2011-12-01,162.11392
2012-01-01,160.76121
2012-02-01,159.52538
2012-03-01,159.72206
2012-04-01,162.16423999999998
2012-05-01,165.75766000000002
2012-06-01,168.56627
2012-07-01,170.79023
2012-08-01,173.00625
2012-09-01,174.78626
2012-10-01,175.8537
2012-11-01,176.57595
2012-12-01,178.58757
2013-01-01,180.22965
2013-02-01,182.0408
2013-03-01,186.30325
2013-04-01,192.55935
2013-05-01,197.53669
2013-06-01,202.0763
2013-07-01,206.33463
2013-08-01,210.48632999999998
2013-09-01,212.8312
2013-10-01,214.64741
2013-11-01,214.78954
2013-12-01,214.8358
2014-01-01,214.23174
2014-02-01,215.2498
2014-03-01,217.60698997333
2014-04-01,219.54073366834598
2014-05-01,221.751634267562
2014-06-01,223.396336943638
2014-07-01,224.56259255817298
2014-08-01,224.431051626535
2014-09-01,224.468392216906
2014-10-01,225.107592559169
2014-11-01,225.772220923476
2014-12-01,226.568798054165
2015-01-01,225.91859565835
2015-02-01,227.566304930095
2015-03-01,229.65697964067797
2015-04-01,232.562612499003
2015-05-01,235.29239270656
2015-06-01,237.08719753737702
2015-07-01,238.061647523495
2015-08-01,238.222875030664
2015-09-01,238.59342609117198
2015-10-01,238.872584230974
2015-11-01,239.375899727352
2015-12-01,240.164965111133
2016-01-01,241.17712558424998
2016-02-01,242.800051781918
2016-03-01,244.365985445286
2016-04-01,246.230928367492
