DATE,SDXRNSA
2005-04-01,239.58499
2005-05-01,241.9984
2005-06-01,245.34751
2005-07-01,247.33038
2005-08-01,248.45465
2005-09-01,249.02561
2005-10-01,249.78652999999997
2005-11-01,250.3439
2005-12-01,248.55185
2006-01-01,247.4588
2006-02-01,247.88913
2006-03-01,248.09239
2006-04-01,249.35429
2006-05-01,249.14343
2006-06-01,249.59548999999998
2006-07-01,249.05287
2006-08-01,247.29631
2006-09-01,246.59693
2006-10-01,244.03443
2006-11-01,242.10949
2006-12-01,238.07883999999999
2007-01-01,237.14569
2007-02-01,235.52887
2007-03-01,233.27191000000002
2007-04-01,232.65752
2007-05-01,231.78135
2007-06-01,231.35903
2007-07-01,229.66249
2007-08-01,226.72688
2007-09-01,222.81812000000002
2007-10-01,217.02077000000003
2007-11-01,209.60363999999998
2007-12-01,202.45019
2008-01-01,197.44748
2008-02-01,190.3396
2008-03-01,185.41728
2008-04-01,180.56133
2008-05-01,178.02751999999998
2008-06-01,175.36658
2008-07-01,172.20193
2008-08-01,168.22714
2008-09-01,164.11973999999998
2008-10-01,159.1245
2008-11-01,155.47208
2008-12-01,152.16337
2009-01-01,148.26096
2009-02-01,146.83316000000002
2009-03-01,144.57913
2009-04-01,144.43001999999998
2009-05-01,145.06411
2009-06-01,147.305
2009-07-01,150.99465
2009-08-01,153.34271999999999
2009-09-01,154.75711
2009-10-01,155.36862
2009-11-01,156.06174
2009-12-01,156.28673999999998
2010-01-01,156.95109
2010-02-01,157.9242
2010-03-01,160.21657
2010-04-01,161.38599
2010-05-01,163.10873
2010-06-01,163.82164
2010-07-01,165.02481
2010-08-01,163.99229
2010-09-01,162.43363
2010-10-01,159.98942
2010-11-01,160.07571000000002
2010-12-01,158.96868999999998
2011-01-01,157.0339
2011-02-01,155.05203
2011-03-01,153.88146
2011-04-01,154.49954
2011-05-01,154.77903
2011-06-01,155.06363000000002
2011-07-01,155.22146999999998
2011-08-01,154.91323
2011-09-01,153.72061000000002
2011-10-01,152.86072
2011-11-01,151.44836999999998
2011-12-01,150.41893000000002
2012-01-01,148.73848999999998
2012-02-01,149.07291
2012-03-01,149.68071
2012-04-01,151.75106
2012-05-01,153.0557
2012-06-01,154.75948
2012-07-01,156.4753
2012-08-01,157.84194
2012-09-01,160.09056
2012-10-01,162.09669
2012-11-01,163.61388
2012-12-01,164.30794
2013-01-01,163.28267
2013-02-01,164.25073
2013-03-01,167.84173
2013-04-01,174.08111
2013-05-01,179.56366
2013-06-01,184.57307
2013-07-01,188.32901
2013-08-01,191.77527
2013-09-01,193.51429
2013-10-01,194.06628999999998
2013-11-01,194.15158
2013-12-01,193.86813
2014-01-01,194.94189
2014-02-01,196.96509
2014-03-01,199.40858293268602
2014-04-01,200.805327412714
2014-05-01,202.00567298359502
2014-06-01,203.07841583616403
2014-07-01,203.630574411948
2014-08-01,203.312442799647
2014-09-01,203.177384098325
2014-10-01,203.012820592639
2014-11-01,203.922189415412
2014-12-01,203.376297346749
2015-01-01,204.657111445033
2015-02-01,205.93306126386798
2015-03-01,208.512309176446
2015-04-01,209.759208706096
2015-05-01,211.550046856201
2015-06-01,212.087448194535
2015-07-01,214.591585056478
2015-08-01,215.350886506551
2015-09-01,216.487609623186
2015-10-01,215.624069469006
2015-11-01,216.34028868262
2015-12-01,217.65875017631
2016-01-01,218.744509569905
2016-02-01,218.97210562716
2016-03-01,221.290964695989
2016-04-01,222.960157177761
2016-05-01,225.04425432239498
2016-06-01,225.97299322813598
2016-07-01,227.38952362416802
2016-08-01,227.770126896969
2016-09-01,228.00715172651297
2016-10-01,228.21241851688
2016-11-01,228.841602909364
2016-12-01,229.30327428278
2017-01-01,231.03188253577702
2017-02-01,233.195297414067
2017-03-01,235.369079106608
2017-04-01,237.452228538745
2017-05-01,239.858702660844
2017-06-01,241.967865833964
2017-07-01,243.506390037613
2017-08-01,245.549619498458
2017-09-01,246.61438415909
2017-10-01,246.58430879312198
2017-11-01,245.735825662998
2017-12-01,246.285131430756
