DATE,SEXRNSA
2008-02-01,179.84646999999998
2008-03-01,178.29175
2008-04-01,179.56658000000002
2008-05-01,178.67346
2008-06-01,178.27778999999998
2008-07-01,176.51459
2008-08-01,175.23543
2008-09-01,172.81588
2008-10-01,170.44894
2008-11-01,166.23251000000002
2008-12-01,160.19453000000001
2009-01-01,154.3807
2009-02-01,152.13181
2009-03-01,149.04664
2009-04-01,149.37675
2009-05-01,148.95705
2009-06-01,149.52933000000002
2009-07-01,149.44232
2009-08-01,149.5408
2009-09-01,148.93511999999998
2009-10-01,149.25642
2009-11-01,148.56454
2009-12-01,147.54447
2010-01-01,145.09198
2010-02-01,143.5633
2010-03-01,143.71581
2010-04-01,145.13879
2010-05-01,146.81804
2010-06-01,146.83092
2010-07-01,147.04277
2010-08-01,145.93444
2010-09-01,145.06573999999998
2010-10-01,143.13456000000002
2010-11-01,141.57211999999998
2010-12-01,138.69828
2011-01-01,135.40993
2011-02-01,132.85197
2011-03-01,132.97489
2011-04-01,135.13671000000002
2011-05-01,136.55573
2011-06-01,137.46151
2011-07-01,137.56617
2011-08-01,137.09181999999998
2011-09-01,135.58793
2011-10-01,134.22153
2011-11-01,132.65035
2011-12-01,130.98613
2012-01-01,130.03226
2012-02-01,128.98723999999999
2012-03-01,131.22543000000002
2012-04-01,133.83546
2012-05-01,137.37005
2012-06-01,139.8938
2012-07-01,141.77756000000002
2012-08-01,141.69242
2012-09-01,142.0927
2012-10-01,141.82232
2012-11-01,142.53375
2012-12-01,141.75343999999998
2013-01-01,141.29605
2013-02-01,140.97359
2013-03-01,145.19632
2013-04-01,149.05003
2013-05-01,153.74372
2013-06-01,156.46291000000002
2013-07-01,159.49774
2013-08-01,160.36319
2013-09-01,160.86754
2013-10-01,160.38837
2013-11-01,160.1687
2013-12-01,159.31602
2014-01-01,158.08962
2014-02-01,159.04558
2014-03-01,162.049743104772
2014-04-01,165.718663579881
2014-05-01,168.100898799591
2014-06-01,169.937193618398
2014-07-01,170.874078927609
2014-08-01,170.853487084214
2014-09-01,170.30862129291
2014-10-01,170.22398852612199
2014-11-01,169.663632866726
2014-12-01,169.749650040474
2015-01-01,168.83321135714502
2015-02-01,170.28123326988998
2015-03-01,174.124308268191
2015-04-01,178.03973063165
2015-05-01,180.54364844639
2015-06-01,182.42804898679
2015-07-01,183.19934760609797
2015-08-01,183.83366738563402
2015-09-01,184.25840924988398
2015-10-01,185.16457621443502
2015-11-01,185.962168884829
2015-12-01,186.265721893595
2016-01-01,186.488466196758
2016-02-01,188.529072375699
2016-03-01,193.02041771598599
2016-04-01,197.006851443479
2016-05-01,199.81825282101397
2016-06-01,202.54570879465803
2016-07-01,203.704225072763
2016-08-01,204.549894421247
2016-09-01,204.53985505049
2016-10-01,204.800017066263
2016-11-01,205.12604006493
2016-12-01,206.284323995014
2017-01-01,207.499959161708
2017-02-01,211.317708225679
2017-03-01,216.743992960499
2017-04-01,222.435396468881
2017-05-01,226.39044385115298
2017-06-01,229.642483570068
2017-07-01,231.14785671942403
2017-08-01,231.56631550593
2017-09-01,230.923350443765
2017-10-01,230.75616636121399
2017-11-01,231.17882677444
2017-12-01,232.49837959369702
