DATE,PHXRNSA
2007-02-01,218.0681
2007-03-01,216.8646
2007-04-01,215.04072000000002
2007-05-01,213.9389
2007-06-01,212.51566
2007-07-01,210.77614
2007-08-01,208.86063000000001
2007-09-01,205.27674
2007-10-01,200.72116
2007-11-01,194.44686000000002
2007-12-01,187.67234
2008-01-01,180.06204
2008-02-01,172.72258
2008-03-01,166.96698
2008-04-01,161.32732
2008-05-01,157.32033
2008-06-01,153.18738000000002
2008-07-01,149.09423999999999
2008-08-01,144.83239
2008-09-01,139.79402
2008-10-01,135.1846
2008-11-01,130.53973
2008-12-01,123.93068000000001
2009-01-01,117.13355
2009-02-01,111.95128999999999
2009-03-01,106.92147
2009-04-01,104.45183
2009-05-01,103.5574
2009-06-01,104.73399
2009-07-01,106.66068999999999
2009-08-01,108.41091999999999
2009-09-01,109.26388
2009-10-01,110.70863999999999
2009-11-01,111.9632
2009-12-01,112.47653999999999
2010-01-01,111.76485
2010-02-01,110.11247
2010-03-01,109.51988999999999
2010-04-01,110.06003
2010-05-01,111.00026000000001
2010-06-01,110.98083000000001
2010-07-01,110.30218
2010-08-01,108.84211
2010-09-01,107.15868
2010-10-01,105.97353999999999
2010-11-01,104.84861
2010-12-01,103.10382
2011-01-01,101.53842
2011-02-01,100.8131
2011-03-01,100.27059
2011-04-01,100.36054
2011-05-01,100.39997
2011-06-01,100.68585
2011-07-01,100.54021999999999
2011-08-01,100.42685
2011-09-01,100.22416
2011-10-01,100.53650999999999
2011-11-01,101.12044
2011-12-01,101.91071
2012-01-01,102.83891
2012-02-01,104.11771999999999
2012-03-01,106.38023999999999
2012-04-01,109.01013999999999
2012-05-01,111.91893
2012-06-01,114.68202
2012-07-01,117.21898999999999
2012-08-01,119.2763
2012-09-01,120.6493
2012-10-01,122.3898
2012-11-01,124.15623000000001
2012-12-01,125.32666
2013-01-01,126.69266999999999
2013-02-01,128.1002
2013-03-01,130.2859
2013-04-01,132.46514
2013-05-01,134.96545
2013-06-01,137.35564
2013-07-01,139.36468
2013-08-01,141.46975
2013-09-01,143.1364
2013-10-01,144.49399
2013-11-01,144.8553
2013-12-01,144.47523999999999
2014-01-01,144.17831
2014-02-01,144.09769
2014-03-01,144.722021768482
2014-04-01,145.378551697693
2014-05-01,145.965571697498
2014-06-01,146.837002619044
2014-07-01,147.252813846341
2014-08-01,147.579132310994
2014-09-01,147.419278892125
2014-10-01,147.558224774691
2014-11-01,147.755195774594
2014-12-01,147.900577590494
2015-01-01,147.846112579958
2015-02-01,148.266769251316
2015-03-01,149.231280783398
2015-04-01,150.45769596461702
2015-05-01,151.513623641718
2015-06-01,152.88107453443
2015-07-01,153.954109218236
2015-08-01,154.821258764591
2015-09-01,155.096626090355
2015-10-01,155.892971123013
2015-11-01,156.34045343028998
2015-12-01,157.11936781017098
2016-01-01,156.708383532874
2016-02-01,157.134135318121
2016-03-01,157.535974282103
2016-04-01,158.643491143207
2016-05-01,159.516688247608
2016-06-01,160.644437611778
2016-07-01,161.90021211531402
2016-08-01,162.792254668183
2016-09-01,163.26241994164698
2016-10-01,163.846083269326
2016-11-01,164.330239300166
2016-12-01,164.572936866639
2017-01-01,164.731699135891
2017-02-01,165.32587633742
2017-03-01,166.239482965767
2017-04-01,167.605611533096
2017-05-01,168.635508818914
2017-06-01,169.86618688126302
2017-07-01,170.808200387771
2017-08-01,172.095516512859
2017-09-01,173.12394352080298
2017-10-01,173.556260697812
2017-11-01,173.445610729038
2017-12-01,173.824960914477
