DATE,CHXRNSA
2005-04-01,153.28009
2005-05-01,154.71989
2005-06-01,156.16159
2005-07-01,157.37931
2005-08-01,157.81365
2005-09-01,159.32255
2005-10-01,160.4689
2005-11-01,162.43986999999998
2005-12-01,163.1629
2006-01-01,163.97782
2006-02-01,164.6689
2006-03-01,164.89497
2006-04-01,165.58482
2006-05-01,166.61074
2006-06-01,167.10152
2006-07-01,167.57111
2006-08-01,167.98795
2006-09-01,168.59601
2006-10-01,168.58504
2006-11-01,168.18289
2006-12-01,167.65038
2007-01-01,167.5188
2007-02-01,167.49113
2007-03-01,167.03695
2007-04-01,165.87295
2007-05-01,165.68326000000002
2007-06-01,165.93896999999998
2007-07-01,166.12922
2007-08-01,165.77486000000002
2007-09-01,164.41868
2007-10-01,163.12089
2007-11-01,161.61337
2007-12-01,160.02569
2008-01-01,156.42403000000002
2008-02-01,153.2908
2008-03-01,150.33382
2008-04-01,150.42747
2008-05-01,149.9365
2008-06-01,150.10775
2008-07-01,149.54955
2008-08-01,149.46167
2008-09-01,147.8337
2008-10-01,145.48265
2008-11-01,141.39311999999998
2008-12-01,137.15885
2009-01-01,130.84758
2009-02-01,126.37862
2009-03-01,122.50372
2009-04-01,122.36745
2009-05-01,123.73013999999999
2009-06-01,124.98846
2009-07-01,128.32073
2009-08-01,130.54908999999998
2009-09-01,132.12601
2009-10-01,130.75013
2009-11-01,129.36074
2009-12-01,127.25581000000001
2010-01-01,125.11477
2010-02-01,122.56626000000001
2010-03-01,119.71167
2010-04-01,120.43198999999998
2010-05-01,121.90275
2010-06-01,124.89818000000001
2010-07-01,126.16617
2010-08-01,126.70093
2010-09-01,124.75896999999999
2010-10-01,122.27786
2010-11-01,119.57015
2010-12-01,117.86237
2011-01-01,115.78379
2011-02-01,113.25578999999999
2011-03-01,110.57011999999999
2011-04-01,110.12207
2011-05-01,112.00905
2011-06-01,115.60647
2011-07-01,117.77856000000001
2011-08-01,119.40285
2011-09-01,118.47408
2011-10-01,116.3912
2011-11-01,112.44318999999999
2011-12-01,110.16315
2012-01-01,107.98749
2012-02-01,105.25894
2012-03-01,102.74574
2012-04-01,103.97624
2012-05-01,108.62483
2012-06-01,113.55543
2012-07-01,116.6148
2012-08-01,117.44698999999999
2012-09-01,116.68935
2012-10-01,114.88381000000001
2012-11-01,113.35829
2012-12-01,112.60813999999999
2013-01-01,111.65109
2013-02-01,110.69775
2013-03-01,110.72559
2013-04-01,113.83292
2013-05-01,117.91637
2013-06-01,121.74331000000001
2013-07-01,125.6946
2013-08-01,127.69798999999999
2013-09-01,128.0335
2013-10-01,127.42286000000001
2013-11-01,125.87361000000001
2013-12-01,125.29063000000001
2014-01-01,123.73476000000001
2014-02-01,122.61173000000001
2014-03-01,123.647749595758
2014-04-01,126.070237191712
2014-05-01,127.95040200624399
2014-06-01,129.923550737256
2014-07-01,130.975926161734
2014-08-01,131.620269283303
2014-09-01,130.948777644598
2014-10-01,129.604420752299
2014-11-01,127.885655687277
2014-12-01,126.78991327843201
2015-01-01,126.57765053187299
2015-02-01,126.422471295506
2015-03-01,127.577808967482
2015-04-01,128.922146236712
2015-05-01,130.418994004809
2015-06-01,131.810966276097
2015-07-01,132.708731533233
2015-08-01,132.840677054899
2015-09-01,132.174611195008
2015-10-01,131.10871547540398
2015-11-01,130.262578515041
2015-12-01,129.651692727565
2016-01-01,129.01970232846702
2016-02-01,128.63682680110398
2016-03-01,130.310066344076
2016-04-01,132.516572621735
2016-05-01,134.62759304150802
2016-06-01,135.82633694399098
2016-07-01,136.701761336103
2016-08-01,136.544747342705
2016-09-01,136.10470981287202
2016-10-01,134.860626807502
2016-11-01,134.669272441867
2016-12-01,135.051834000112
2017-01-01,135.232915688681
2017-02-01,135.08746949495898
2017-03-01,136.331444573444
2017-04-01,137.66864885678302
2017-05-01,139.000427361309
2017-06-01,140.07280850549802
2017-07-01,140.946535502069
2017-08-01,141.26361487622802
2017-09-01,141.01569701175302
2017-10-01,140.085524254761
2017-11-01,139.361972611746
2017-12-01,138.530219361583
