DATE,MNXRNSA
2007-04-01,164.77806
2007-05-01,164.40302
2007-06-01,164.28898
2007-07-01,164.96788
2007-08-01,164.66799
2007-09-01,164.20192
2007-10-01,162.12429
2007-11-01,159.09032
2007-12-01,155.72394
2008-01-01,151.05706999999998
2008-02-01,145.98075
2008-03-01,142.28892
2008-04-01,139.39687
2008-05-01,140.23228
2008-06-01,141.52601
2008-07-01,143.45028
2008-08-01,142.17122
2008-09-01,140.74472
2008-10-01,135.97261
2008-11-01,132.90847
2008-12-01,126.27933
2009-01-01,120.41973999999999
2009-02-01,116.42653999999999
2009-03-01,109.58476
2009-04-01,108.62276999999999
2009-05-01,109.86845
2009-06-01,113.75656000000001
2009-07-01,119.36497
2009-08-01,122.97686999999999
2009-09-01,125.24475
2009-10-01,124.8024
2009-11-01,124.31119
2009-12-01,123.64243
2010-01-01,122.55545
2010-02-01,119.84567
2010-03-01,117.23612
2010-04-01,119.35306000000001
2010-05-01,122.70362
2010-06-01,125.92345
2010-07-01,126.79065
2010-08-01,126.37245
2010-09-01,123.7497
2010-10-01,121.49816000000001
2010-11-01,119.1825
2010-12-01,117.38932
2011-01-01,113.46016000000002
2011-02-01,109.74063999999998
2011-03-01,105.76937
2011-04-01,105.90126000000001
2011-05-01,108.51021000000001
2011-06-01,112.43508
2011-07-01,115.75461999999999
2011-08-01,116.02258
2011-09-01,115.83731999999999
2011-10-01,114.44367
2011-11-01,113.77633
2011-12-01,112.35976000000001
2012-01-01,111.46847
2012-02-01,110.58588
2012-03-01,109.50448999999999
2012-04-01,110.44681000000001
2012-05-01,113.53113
2012-06-01,118.84598000000001
2012-07-01,123.23313999999999
2012-08-01,124.60216000000001
2012-09-01,125.72416000000001
2012-10-01,124.94426999999999
2012-11-01,125.87355
2012-12-01,125.95796000000001
2013-01-01,125.49478
2013-02-01,124.54028999999998
2013-03-01,123.20156000000001
2013-04-01,126.80583999999999
2013-05-01,129.53458
2013-06-01,132.45435
2013-07-01,134.82708
2013-08-01,137.16657
2013-09-01,138.31598
2013-10-01,139.11183
2013-11-01,139.0678
2013-12-01,138.14219
2014-01-01,137.22536000000002
2014-02-01,135.9601
2014-03-01,137.23183467985
2014-04-01,138.370641288801
2014-05-01,140.236928330007
2014-06-01,141.235168179304
2014-07-01,142.102545474027
2014-08-01,142.539867383212
2014-09-01,142.399161061645
2014-10-01,141.882270253297
2014-11-01,140.915478355259
2014-12-01,140.36846078176902
2015-01-01,139.83951182406201
2015-02-01,139.91509855661502
2015-03-01,141.121397307115
2015-04-01,142.694250772339
2015-05-01,144.373748148017
2015-06-01,146.02827324523898
2015-07-01,147.064818187831
2015-08-01,147.42021725357299
2015-09-01,147.579550438578
2015-10-01,147.376804194231
2015-11-01,147.37518527603
2015-12-01,146.862183593015
2016-01-01,146.08229301003598
2016-02-01,145.398151204102
2016-03-01,146.679106274396
2016-04-01,149.484868295031
2016-05-01,151.714732730132
2016-06-01,153.355069032777
2016-07-01,154.29642344598
2016-08-01,154.983877521337
2016-09-01,155.33529442046998
2016-10-01,155.337620452368
2016-11-01,155.20476681448798
2016-12-01,154.806224509104
2017-01-01,154.031600062342
2017-02-01,154.542499012521
2017-03-01,156.75014519093398
2017-04-01,158.871346719893
2017-05-01,160.77247771893
2017-06-01,162.416042553849
2017-07-01,163.60190013603
2017-08-01,163.958006315469
2017-09-01,163.890290874858
2017-10-01,163.682594834632
2017-11-01,163.540409156778
2017-12-01,162.922484826912
