DATE,CHXRLTNSA
2010-06-01,118.09685
2010-07-01,118.29031
2010-08-01,115.05606999999999
2010-09-01,110.59716999999999
2010-10-01,107.27206000000001
2010-11-01,105.68661999999999
2010-12-01,104.32611999999999
2011-01-01,102.02463
2011-02-01,97.211156
2011-03-01,87.55906800000001
2011-04-01,84.236384
2011-05-01,84.609914
2011-06-01,90.088104
2011-07-01,91.622283
2011-08-01,94.170534
2011-09-01,94.63941700000001
2011-10-01,93.177762
2011-11-01,88.67684799999999
2011-12-01,85.839597
2012-01-01,84.25264
2012-02-01,82.678588
2012-03-01,79.95308299999999
2012-04-01,80.273613
2012-05-01,82.28086
2012-06-01,87.263212
2012-07-01,88.257683
2012-08-01,90.441349
2012-09-01,89.834091
2012-10-01,91.160844
2012-11-01,90.121059
2012-12-01,91.598957
2013-01-01,91.476739
2013-02-01,91.95219399999999
2013-03-01,90.62903399999999
2013-04-01,94.96249399999999
2013-05-01,97.796873
2013-06-01,100.76787
2013-07-01,103.25180999999999
2013-08-01,106.26796999999999
2013-09-01,108.45553999999998
2013-10-01,110.2298
2013-11-01,109.22697
2013-12-01,108.13938999999999
2014-01-01,106.67696000000001
2014-02-01,106.25846000000001
2014-03-01,108.01366931840201
2014-04-01,113.361119970375
2014-05-01,117.409970995311
2014-06-01,121.673362577955
2014-07-01,123.93589838099399
2014-08-01,124.09390527211
2014-09-01,123.745883822378
2014-10-01,122.94425525813999
2014-11-01,120.80820424394899
2014-12-01,120.736677512054
2015-01-01,119.472652111614
2015-02-01,118.53904889852801
2015-03-01,121.565973385166
2015-04-01,123.546296691995
2015-05-01,126.999339355168
2015-06-01,127.722207256466
2015-07-01,130.095511389947
2015-08-01,130.309764572312
2015-09-01,130.74288876151698
2015-10-01,131.33608101671
2015-11-01,131.214560884647
2015-12-01,131.67929636156902
2016-01-01,130.25360746651398
2016-02-01,130.274952517844
2016-03-01,130.852884151381
2016-04-01,133.612539659638
2016-05-01,137.466936672385
2016-06-01,138.754110652169
2016-07-01,140.563217711604
2016-08-01,142.547148074461
2016-09-01,143.061599485704
2016-10-01,143.015401421961
2016-11-01,141.165080774557
2016-12-01,140.660400124973
2017-01-01,139.185609684262
2017-02-01,141.019173376327
2017-03-01,143.773319205596
2017-04-01,146.382181934794
2017-05-01,148.674148936744
2017-06-01,151.32754493459498
2017-07-01,152.804099265341
2017-08-01,153.643562279895
2017-09-01,153.373825837364
2017-10-01,154.055955806434
2017-11-01,154.854888988146
2017-12-01,154.206897227912
