DATE,NYXRMTNSA
2005-05-01,200.98651999999998
2005-06-01,203.54345
2005-07-01,206.72601
2005-08-01,209.49624
2005-09-01,211.94723
2005-10-01,214.09729
2005-11-01,216.20532000000003
2005-12-01,218.54027000000002
2006-01-01,219.36902999999998
2006-02-01,220.53699
2006-03-01,221.07046
2006-04-01,221.94582000000003
2006-05-01,223.05876
2006-06-01,223.15607000000003
2006-07-01,223.46872000000002
2006-08-01,223.21909
2006-09-01,224.17449
2006-10-01,224.13143
2006-11-01,223.31822000000003
2006-12-01,222.38807999999997
2007-01-01,221.85714
2007-02-01,222.23227999999997
2007-03-01,222.02083
2007-04-01,221.4374
2007-05-01,220.15942
2007-06-01,219.2885
2007-07-01,218.68406000000002
2007-08-01,217.24651
2007-09-01,215.57392000000002
2007-10-01,213.46215
2007-11-01,211.7449
2007-12-01,210.12316
2008-01-01,208.03479
2008-02-01,205.97913
2008-03-01,202.47326999999999
2008-04-01,200.67436
2008-05-01,199.23689
2008-06-01,199.51563000000002
2008-07-01,199.07075
2008-08-01,199.37881000000002
2008-09-01,197.67269
2008-10-01,195.01115
2008-11-01,190.40931
2008-12-01,188.54341000000002
2009-01-01,186.02687
2009-02-01,184.26957
2009-03-01,177.5024
2009-04-01,175.2879
2009-05-01,174.45646000000002
2009-06-01,175.25446000000002
2009-07-01,176.77328
2009-08-01,178.91832
2009-09-01,180.07538
2009-10-01,179.34511
2009-11-01,177.43982
2009-12-01,175.7957
2010-01-01,176.5172
2010-02-01,175.85789
2010-03-01,174.15513
2010-04-01,171.87515
2010-05-01,171.46289
2010-06-01,173.82816
2010-07-01,177.17165
2010-08-01,177.90891000000002
2010-09-01,176.97035
2010-10-01,173.745
2010-11-01,172.35611
2010-12-01,171.07424
2011-01-01,167.52011000000002
2011-02-01,166.85738999999998
2011-03-01,163.17539
2011-04-01,163.43864
2011-05-01,162.85082
2011-06-01,165.25322
2011-07-01,167.86064
2011-08-01,169.58427
2011-09-01,169.57333
2011-10-01,167.6121
2011-11-01,167.22993
2011-12-01,164.48181
2012-01-01,162.46853000000002
2012-02-01,159.63531
2012-03-01,159.40604
2012-04-01,159.83873
2012-05-01,161.2085
2012-06-01,163.17388
2012-07-01,165.18255
2012-08-01,166.99776
2012-09-01,167.57407
2012-10-01,165.13428000000002
2012-11-01,163.67008
2012-12-01,162.88844
2013-01-01,162.88756
2013-02-01,163.21202
2013-03-01,162.97859
2013-04-01,164.1328
2013-05-01,167.19451999999998
2013-06-01,169.31608
2013-07-01,172.12184
2013-08-01,174.22898
2013-09-01,175.52492
2013-10-01,175.61375
2013-11-01,174.16676
2013-12-01,173.36952
2014-01-01,173.60661000000002
2014-02-01,173.13029
2014-03-01,171.99060388356898
2014-04-01,172.254823493977
2014-05-01,173.59577704480597
2014-06-01,176.533649333296
2014-07-01,178.612612747923
2014-08-01,180.29721766131402
2014-09-01,180.02570957051603
2014-10-01,178.961503620485
2014-11-01,178.31314108979
2014-12-01,178.536683759438
2015-01-01,178.124713869842
2015-02-01,176.502056161269
2015-03-01,174.948380455857
2015-04-01,177.35482788096198
2015-05-01,179.726745276479
2015-06-01,181.80671366229802
2015-07-01,183.543235582593
2015-08-01,184.43654764502102
2015-09-01,185.132973166885
2015-10-01,185.12417235120603
2015-11-01,184.500192568163
2015-12-01,183.645040140016
2016-01-01,182.57373109263
2016-02-01,183.078880350003
2016-03-01,185.08210015918
2016-04-01,186.312009271823
2016-05-01,187.22273758257302
2016-06-01,188.513745040873
2016-07-01,189.797805513848
2016-08-01,191.334913830099
2016-09-01,190.95904484738998
2016-10-01,190.71347086753897
2016-11-01,190.919392391825
2016-12-01,191.942872616086
2017-01-01,193.86401652560397
2017-02-01,193.825173901194
2017-03-01,195.97443651423302
2017-04-01,196.29689566875197
2017-05-01,197.547889662418
2017-06-01,199.255999193293
2017-07-01,200.82239802913202
2017-08-01,202.69234694988302
2017-09-01,204.04410150177299
2017-10-01,205.200550147401
2017-11-01,205.60331918424197
2017-12-01,205.90943536064302
