DATE,SFXRHTNSA
2005-01-01,164.00605
2005-02-01,166.42473999999999
2005-03-01,172.00735
2005-04-01,176.39466000000002
2005-05-01,179.64442
2005-06-01,182.51366000000002
2005-07-01,183.98911
2005-08-01,184.45171000000002
2005-09-01,185.0428
2005-10-01,184.96448
2005-11-01,184.62067
2005-12-01,184.49465
2006-01-01,183.55942
2006-02-01,183.84642
2006-03-01,184.05762
2006-04-01,186.3976
2006-05-01,188.34192
2006-06-01,189.33774
2006-07-01,189.57148
2006-08-01,189.04787
2006-09-01,188.1118
2006-10-01,187.0727
2006-11-01,185.5514
2006-12-01,182.76604
2007-01-01,182.06017
2007-02-01,182.26408
2007-03-01,186.05178
2007-04-01,188.19451
2007-05-01,188.77825
2007-06-01,189.14529
2007-07-01,190.04836
2007-08-01,191.29334
2007-09-01,190.78492
2007-10-01,188.50502
2007-11-01,182.65053999999998
2007-12-01,178.87773
2008-01-01,175.75073
2008-02-01,171.31836
2008-03-01,171.25026
2008-04-01,170.8732
2008-05-01,172.36415
2008-06-01,169.94766
2008-07-01,168.92972
2008-08-01,165.31063999999998
2008-09-01,163.31882
2008-10-01,158.96116999999998
2008-11-01,155.91461
2008-12-01,150.6753
2009-01-01,143.90343000000001
2009-02-01,138.00918000000001
2009-03-01,133.12885
2009-04-01,133.47103
2009-05-01,138.53463
2009-06-01,141.80433
2009-07-01,144.41373000000002
2009-08-01,144.6858
2009-09-01,144.60562
2009-10-01,145.69821000000002
2009-11-01,145.70604
2009-12-01,145.31966
2010-01-01,143.94149
2010-02-01,141.79731999999998
2010-03-01,144.09371000000002
2010-04-01,147.75499
2010-05-01,150.0733
2010-06-01,149.09871
2010-07-01,148.49618999999998
2010-08-01,147.74736000000001
2010-09-01,147.68261
2010-10-01,145.80661
2010-11-01,144.78583999999998
2010-12-01,143.60148999999998
2011-01-01,141.76231
2011-02-01,138.7867
2011-03-01,139.83541
2011-04-01,141.90022
2011-05-01,143.26568
2011-06-01,143.56288
2011-07-01,144.25672
2011-08-01,144.30163000000002
2011-09-01,143.04345
2011-10-01,143.43011
2011-11-01,142.05399
2011-12-01,141.5289
2012-01-01,138.01151000000002
2012-02-01,136.41173
2012-03-01,138.38857
2012-04-01,142.71833
2012-05-01,147.02211
2012-06-01,148.86735
2012-07-01,150.52434
2012-08-01,151.11749
2012-09-01,151.03876
2012-10-01,152.3305
2012-11-01,152.9173
2012-12-01,154.41183
2013-01-01,152.97063
2013-02-01,153.94029
2013-03-01,159.27159
2013-04-01,166.13886000000002
2013-05-01,172.25761
2013-06-01,175.87214
2013-07-01,178.89085
2013-08-01,179.03598
2013-09-01,180.15472
2013-10-01,179.3273
2013-11-01,181.14369
2013-12-01,181.90899
2014-01-01,183.63895
2014-02-01,185.30521000000002
2014-03-01,190.776955123773
2014-04-01,195.358729260717
2014-05-01,197.90590714302
2014-06-01,198.66775959138303
2014-07-01,198.01706436197202
2014-08-01,196.191905230074
2014-09-01,196.27578364483298
2014-10-01,198.33901678167098
2014-11-01,198.83001571647202
2014-12-01,198.994206369939
2015-01-01,196.004363451241
2015-02-01,202.191151298845
2015-03-01,210.105883342197
2015-04-01,214.527804859006
2015-05-01,217.45026170588298
2015-06-01,217.543900695637
2015-07-01,217.060913444017
2015-08-01,215.907573028158
2015-09-01,216.871251500244
2015-10-01,220.17597310861402
2015-11-01,220.32869337665002
2015-12-01,218.973351070852
2016-01-01,215.78996738128004
2016-02-01,219.53151135953098
2016-03-01,225.40493492099202
2016-04-01,229.31602370195702
2016-05-01,228.16771501394902
2016-06-01,228.307303937846
2016-07-01,227.614996807625
2016-08-01,228.14896572123797
2016-09-01,227.254324509337
2016-10-01,228.88391063852995
2016-11-01,228.44740091970002
2016-12-01,228.61887048044701
2017-01-01,226.06830228831
2017-02-01,229.397781951776
2017-03-01,232.149521554497
2017-04-01,237.149231983778
2017-05-01,238.90189515323996
2017-06-01,239.556508291133
2017-07-01,239.78188084712897
2017-08-01,237.684666449193
2017-09-01,239.56122736793301
2017-10-01,242.316992352935
2017-11-01,247.669128909035
2017-12-01,247.76574785411898
