DATE,LXXRHTNSA
2005-05-01,215.64497000000003
2005-06-01,219.88922000000002
2005-07-01,223.26049
2005-08-01,227.04802
2005-09-01,229.96862000000002
2005-10-01,232.68725
2005-11-01,233.41357999999997
2005-12-01,234.1144
2006-01-01,233.60735
2006-02-01,233.42006
2006-03-01,234.80077000000003
2006-04-01,237.82113999999999
2006-05-01,239.83305
2006-06-01,240.25551000000002
2006-07-01,239.92501000000001
2006-08-01,239.30306000000002
2006-09-01,238.54587999999998
2006-10-01,237.73435
2006-11-01,235.73595
2006-12-01,232.14529
2007-01-01,230.75241
2007-02-01,230.98955
2007-03-01,231.59125
2007-04-01,232.69067
2007-05-01,234.41255
2007-06-01,235.72736
2007-07-01,236.15946
2007-08-01,234.79213
2007-09-01,232.24607999999998
2007-10-01,228.80764
2007-11-01,221.27636
2007-12-01,215.72477
2008-01-01,208.32216
2008-02-01,200.51452
2008-03-01,195.8459
2008-04-01,193.30865
2008-05-01,192.10648
2008-06-01,191.74595
2008-07-01,190.91026000000002
2008-08-01,189.10576
2008-09-01,185.83247
2008-10-01,181.72267
2008-11-01,177.48406
2008-12-01,173.91792
2009-01-01,169.97365
2009-02-01,167.79261
2009-03-01,166.36671
2009-04-01,165.35363999999998
2009-05-01,166.3745
2009-06-01,169.09513
2009-07-01,172.50325
2009-08-01,174.81835
2009-09-01,175.58938
2009-10-01,175.37086000000002
2009-11-01,174.67858999999999
2009-12-01,174.71652
2010-01-01,175.57929
2010-02-01,174.93323
2010-03-01,173.74386
2010-04-01,173.76251000000002
2010-05-01,175.09938
2010-06-01,175.48147
2010-07-01,176.57322
2010-08-01,176.32199
2010-09-01,176.31441999999998
2010-10-01,174.76729
2010-11-01,174.21223999999998
2010-12-01,171.70995
2011-01-01,170.8675
2011-02-01,169.44144
2011-03-01,169.24681999999999
2011-04-01,169.07936999999998
2011-05-01,170.24346
2011-06-01,171.40951
2011-07-01,172.15451000000002
2011-08-01,171.7941
2011-09-01,169.85693999999998
2011-10-01,167.30807
2011-11-01,165.041
2011-12-01,163.88824
2012-01-01,162.43569
2012-02-01,161.08011000000002
2012-03-01,160.37624
2012-04-01,163.08748
2012-05-01,166.93731
2012-06-01,170.0997
2012-07-01,171.99718000000001
2012-08-01,173.62996
2012-09-01,175.10273
2012-10-01,175.63873999999998
2012-11-01,176.40106
2012-12-01,177.78669
2013-01-01,179.0849
2013-02-01,180.14343
2013-03-01,184.71891000000002
2013-04-01,191.15223999999998
2013-05-01,195.39604
2013-06-01,199.42768
2013-07-01,203.41672
2013-08-01,208.01387
2013-09-01,209.11459
2013-10-01,210.45692000000003
2013-11-01,209.48568999999998
2013-12-01,209.33108000000001
2014-01-01,208.34318000000002
2014-02-01,209.42458
2014-03-01,211.83870134141898
2014-04-01,213.704587098804
2014-05-01,215.45972581184398
2014-06-01,217.04925477541
2014-07-01,218.02731186951098
2014-08-01,218.39682832465198
2014-09-01,218.05607039158798
2014-10-01,218.76318439771902
2014-11-01,219.052879722528
2014-12-01,219.293393391554
2015-01-01,217.97132250249402
2015-02-01,219.32846312979697
2015-03-01,221.90751631396301
2015-04-01,224.716866826311
2015-05-01,227.609800373937
2015-06-01,229.55059005087398
2015-07-01,230.354711555112
2015-08-01,229.833324896734
2015-09-01,229.205678745598
2015-10-01,229.065418888591
2015-11-01,228.714234559076
2015-12-01,229.768685057937
2016-01-01,230.55176280963298
2016-02-01,232.704899608409
2016-03-01,233.457910764482
2016-04-01,235.19703751154498
2016-05-01,236.89195710149897
2016-06-01,238.592662768603
2016-07-01,239.745209235529
2016-08-01,240.291372907449
2016-09-01,240.52854478274202
2016-10-01,239.621906594727
2016-11-01,238.902170156263
2016-12-01,238.87507298307202
2017-01-01,238.76885168224098
2017-02-01,238.758482573684
2017-03-01,241.82574317843998
2017-04-01,244.25440609659302
2017-05-01,247.073295043057
2017-06-01,248.30571038022498
2017-07-01,251.107995385822
2017-08-01,251.102027897011
2017-09-01,251.837289354364
2017-10-01,251.847076036014
2017-11-01,253.39790702814
2017-12-01,254.48107785714902
