DATE,WDXRNSA
2005-06-01,235.37846000000002
2005-07-01,239.49882999999997
2005-08-01,242.06217
2005-09-01,244.10525
2005-10-01,245.44006000000002
2005-11-01,246.69727999999998
2005-12-01,247.36782000000002
2006-01-01,247.69905
2006-02-01,248.38637000000003
2006-03-01,248.8642
2006-04-01,250.1749
2006-05-01,251.06676000000002
2006-06-01,250.98792000000003
2006-07-01,249.91881
2006-08-01,247.94337000000002
2006-09-01,244.78117999999998
2006-10-01,243.73395
2006-11-01,242.27907000000002
2006-12-01,240.4512
2007-01-01,238.85282
2007-02-01,237.97512999999998
2007-03-01,237.14172000000002
2007-04-01,236.1716
2007-05-01,235.41267000000002
2007-06-01,234.01717000000002
2007-07-01,232.16742999999997
2007-08-01,230.20692999999997
2007-09-01,229.24743999999998
2007-10-01,227.56464
2007-11-01,223.84769
2007-12-01,218.35464
2008-01-01,213.20441
2008-02-01,207.94522
2008-03-01,203.38918
2008-04-01,201.31535
2008-05-01,199.26786
2008-06-01,197.60115
2008-07-01,195.43826
2008-08-01,194.1406
2008-09-01,190.00468999999998
2008-10-01,184.83379
2008-11-01,180.26899
2008-12-01,175.55551
2009-01-01,171.97948
2009-02-01,168.05071
2009-03-01,165.93635
2009-04-01,167.30351000000002
2009-05-01,169.48524
2009-06-01,173.21074
2009-07-01,176.45333
2009-08-01,179.57058999999998
2009-09-01,180.70707
2009-10-01,180.07556
2009-11-01,179.17054
2009-12-01,178.79703999999998
2010-01-01,177.39642
2010-02-01,176.57256
2010-03-01,175.41169
2010-04-01,179.50715
2010-05-01,182.57566
2010-06-01,185.73907
2010-07-01,187.15284
2010-08-01,187.04696
2010-09-01,186.25098
2010-10-01,184.96206999999998
2010-11-01,183.80569
2010-12-01,182.90385
2011-01-01,181.34812
2011-02-01,179.96497
2011-03-01,177.51592
2011-04-01,178.48487
2011-05-01,180.56537
2011-06-01,182.66997
2011-07-01,185.28659
2011-08-01,185.97198999999998
2011-09-01,186.3249
2011-10-01,182.90403999999998
2011-11-01,181.11237
2011-12-01,178.37752
2012-01-01,176.93142
2012-02-01,174.55964
2012-03-01,176.13298
2012-04-01,180.98969
2012-05-01,185.899
2012-06-01,189.27793
2012-07-01,191.46267
2012-08-01,192.3819
2012-09-01,191.83748
2012-10-01,190.24804
2012-11-01,188.92657
2012-12-01,188.73215
2013-01-01,187.44375
2013-02-01,186.56309
2013-03-01,189.67113
2013-04-01,194.16025
2013-05-01,198.04151000000002
2013-06-01,200.0899
2013-07-01,202.97415
2013-08-01,204.44328000000002
2013-09-01,205.25035
2013-10-01,204.37816999999998
2013-11-01,203.7133
2013-12-01,204.0607
2014-01-01,203.31632
2014-02-01,203.45391
2014-03-01,205.531033325784
2014-04-01,207.556098249976
2014-05-01,209.32157079643503
2014-06-01,210.297141103624
2014-07-01,210.48710549240002
2014-08-01,210.219334338723
2014-09-01,209.144505224181
2014-10-01,208.331731974103
2014-11-01,207.14597697905202
2014-12-01,206.739353859287
2015-01-01,205.25052101873501
2015-02-01,205.69051945672797
2015-03-01,206.85132425817002
2015-04-01,209.573506657408
2015-05-01,210.946989195283
2015-06-01,212.48407681391498
2015-07-01,212.981060626962
2015-08-01,212.805167674392
2015-09-01,211.806558839298
2015-10-01,210.67878446794103
2015-11-01,210.39049739676997
2015-12-01,209.640917508307
2016-01-01,208.878744275676
2016-02-01,208.12398121113097
2016-03-01,209.3530640108
2016-04-01,212.721221900557
2016-05-01,214.747104702343
2016-06-01,215.88730490077
2016-07-01,216.028324735181
2016-08-01,215.953434738568
2016-09-01,215.50441008519402
2016-10-01,215.162261340144
2016-11-01,214.87212172695203
2016-12-01,215.361695371913
2017-01-01,215.2170000153
2017-02-01,215.93152941455898
2017-03-01,217.013798259027
2017-04-01,219.162274014478
2017-05-01,220.742551482473
2017-06-01,222.127710947451
2017-07-01,222.67931518829
2017-08-01,222.37402020473098
2017-09-01,221.635870894698
2017-10-01,221.63660008677002
2017-11-01,221.94997530680598
2017-12-01,221.493412384036
