DATE,NYXRLTNSA
2005-06-01,228.7711
2005-07-01,231.35131
2005-08-01,236.01812
2005-09-01,240.12175
2005-10-01,243.36315
2005-11-01,245.71354
2005-12-01,247.7917
2006-01-01,250.46915
2006-02-01,253.32279
2006-03-01,254.1879
2006-04-01,255.31659
2006-05-01,255.37502999999998
2006-06-01,257.16282
2006-07-01,257.89445
2006-08-01,259.47067999999996
2006-09-01,259.18297
2006-10-01,259.78253
2006-11-01,258.51379
2006-12-01,259.7402
2007-01-01,259.01797
2007-02-01,259.72758999999996
2007-03-01,258.23958
2007-04-01,255.93695
2007-05-01,254.81139
2007-06-01,253.94091
2007-07-01,253.87432
2007-08-01,251.94185
2007-09-01,250.68083
2007-10-01,248.18177999999997
2007-11-01,246.43117
2007-12-01,243.95086
2008-01-01,242.40665
2008-02-01,239.47563
2008-03-01,237.1583
2008-04-01,232.62836000000001
2008-05-01,231.51028
2008-06-01,230.24222999999998
2008-07-01,228.74216
2008-08-01,227.79304
2008-09-01,225.16137999999998
2008-10-01,222.65587999999997
2008-11-01,219.15567000000001
2008-12-01,215.92737000000002
2009-01-01,212.06807999999998
2009-02-01,205.72314
2009-03-01,199.55241999999998
2009-04-01,195.40884
2009-05-01,195.32715
2009-06-01,196.08909
2009-07-01,197.91749
2009-08-01,200.69642
2009-09-01,200.95705
2009-10-01,200.06045
2009-11-01,198.72949
2009-12-01,197.31798
2010-01-01,194.78665
2010-02-01,191.93416000000002
2010-03-01,187.53149
2010-04-01,188.6809
2010-05-01,190.26931000000002
2010-06-01,194.83844
2010-07-01,195.40986
2010-08-01,194.5507
2010-09-01,191.75736
2010-10-01,188.12128
2010-11-01,186.13392
2010-12-01,184.49782
2011-01-01,183.27556
2011-02-01,179.5601
2011-03-01,176.34102
2011-04-01,175.64865
2011-05-01,176.42121
2011-06-01,176.88846999999998
2011-07-01,178.64539
2011-08-01,177.85206000000002
2011-09-01,175.84939
2011-10-01,173.98703999999998
2011-11-01,173.57773
2011-12-01,175.48681000000002
2012-01-01,174.32379
2012-02-01,167.98795
2012-03-01,161.71097
2012-04-01,161.29949
2012-05-01,164.97408000000001
2012-06-01,167.66678000000002
2012-07-01,170.43337
2012-08-01,171.61698
2012-09-01,173.44546
2012-10-01,174.45496
2012-11-01,173.94366000000002
2012-12-01,171.97117
2013-01-01,168.82907
2013-02-01,168.07248
2013-03-01,166.49947
2013-04-01,169.55175
2013-05-01,173.39766
2013-06-01,177.99442
2013-07-01,181.30374
2013-08-01,182.48951
2013-09-01,183.54786000000001
2013-10-01,182.92651999999998
2013-11-01,182.50118999999998
2013-12-01,181.07715
2014-01-01,180.16697
2014-02-01,177.89046000000002
2014-03-01,176.148878808229
2014-04-01,176.925376981384
2014-05-01,179.906257433904
2014-06-01,184.486399946436
2014-07-01,187.73271565622397
2014-08-01,188.285053999332
2014-09-01,188.119405278276
2014-10-01,186.59747346530898
2014-11-01,184.829290207913
2014-12-01,185.22270712001
2015-01-01,185.836397196721
2015-02-01,185.82943958576197
2015-03-01,184.31052113809397
2015-04-01,184.531274137947
2015-05-01,187.798884935621
2015-06-01,191.903501130034
2015-07-01,194.226134005589
2015-08-01,195.273336026932
2015-09-01,195.686416587105
2015-10-01,193.993788186373
2015-11-01,194.26469356536
2015-12-01,192.08249886742698
2016-01-01,191.83528775252
2016-02-01,189.77761029899398
2016-03-01,192.278722689885
2016-04-01,194.420716791531
2016-05-01,197.832460498165
2016-06-01,201.921760351763
2016-07-01,203.179254964758
2016-08-01,203.838011167075
2016-09-01,203.99318988322602
2016-10-01,204.990325895777
2016-11-01,205.67755552115003
2016-12-01,206.602351573136
2017-01-01,206.294047835655
2017-02-01,205.64770976931197
2017-03-01,206.530788945657
2017-04-01,208.211479045654
2017-05-01,209.842947646879
2017-06-01,210.858183044629
2017-07-01,212.840372818424
2017-08-01,215.899495204944
2017-09-01,217.301161113717
2017-10-01,218.659651447725
2017-11-01,218.526746683348
2017-12-01,218.804676850228
