DATE,NYXRNSA
2005-03-01,192.1676
2005-04-01,194.10349
2005-05-01,195.963
2005-06-01,197.76561
2005-07-01,199.86446
2005-08-01,202.32975
2005-09-01,204.82675
2005-10-01,207.63637
2005-11-01,210.3018
2005-12-01,212.67977000000002
2006-01-01,213.49584
2006-02-01,214.46956
2006-03-01,214.3266
2006-04-01,214.97114
2006-05-01,215.57082999999997
2006-06-01,215.82693999999998
2006-07-01,215.24781000000002
2006-08-01,214.33587000000003
2006-09-01,214.08662999999999
2006-10-01,214.28671
2006-11-01,214.24007999999998
2006-12-01,213.79408999999998
2007-01-01,212.77935
2007-02-01,212.51907000000003
2007-03-01,212.3974
2007-04-01,211.61928999999998
2007-05-01,210.50821000000002
2007-06-01,209.49415
2007-07-01,208.36548
2007-08-01,207.18115
2007-09-01,206.38613
2007-10-01,205.53761
2007-11-01,204.37509
2007-12-01,202.09206
2008-01-01,200.44008
2008-02-01,198.30658
2008-03-01,196.52293999999998
2008-04-01,194.72341
2008-05-01,194.22885
2008-06-01,194.74418
2008-07-01,193.69888999999998
2008-08-01,193.47605
2008-09-01,191.65598
2008-10-01,189.65738000000002
2008-11-01,186.51723
2008-12-01,183.45455
2009-01-01,180.92924
2009-02-01,177.84011999999998
2009-03-01,173.60447
2009-04-01,170.6915
2009-05-01,171.17191
2009-06-01,172.33736000000002
2009-07-01,173.9136
2009-08-01,175.13118
2009-09-01,174.80662
2009-10-01,174.41613999999998
2009-11-01,172.65253
2009-12-01,171.85222
2010-01-01,171.38693999999998
2010-02-01,170.55652
2010-03-01,169.26164
2010-04-01,168.88683999999998
2010-05-01,170.47138
2010-06-01,172.84537
2010-07-01,175.02021000000002
2010-08-01,175.18352
2010-09-01,174.42911999999998
2010-10-01,171.50325
2010-11-01,169.5319
2010-12-01,167.92256
2011-01-01,165.92057
2011-02-01,164.45183
2011-03-01,162.33578
2011-04-01,163.91661000000002
2011-05-01,165.09247
2011-06-01,166.81839
2011-07-01,169.53757
2011-08-01,170.20308
2011-09-01,169.95755
2011-10-01,167.33455
2011-11-01,164.86473999999998
2011-12-01,162.40542
