DATE,LXXRMTNSA
2005-04-01,241.45614
2005-05-01,246.84962000000002
2005-06-01,252.20969
2005-07-01,257.28978
2005-08-01,262.01749
2005-09-01,266.56406
2005-10-01,269.5363
2005-11-01,271.45926000000003
2005-12-01,272.91901
2006-01-01,274.53914
2006-02-01,277.09185
2006-03-01,278.20925
2006-04-01,280.23287999999997
2006-05-01,281.52856
2006-06-01,282.4169
2006-07-01,283.43874
2006-08-01,282.707
2006-09-01,282.27281
2006-10-01,281.72069
2006-11-01,281.83079
2006-12-01,280.64436
2007-01-01,279.66429
2007-02-01,276.66146000000003
2007-03-01,274.17999
2007-04-01,273.98331
2007-05-01,273.75847000000005
2007-06-01,272.03486000000004
2007-07-01,269.17236
2007-08-01,265.42746
2007-09-01,261.83731
2007-10-01,253.60347000000002
2007-11-01,243.02211
2007-12-01,232.84402999999998
2008-01-01,224.97116
2008-02-01,215.06296
2008-03-01,207.69308999999998
2008-04-01,202.74483999999998
2008-05-01,198.84866
2008-06-01,195.97603
2008-07-01,192.12927
2008-08-01,188.75862
2008-09-01,184.74409
2008-10-01,181.66388
2008-11-01,179.13511
2008-12-01,175.11543999999998
2009-01-01,171.01199
2009-02-01,167.5853
2009-03-01,165.37734
2009-04-01,164.20346999999998
2009-05-01,164.08406000000002
2009-06-01,165.15302
2009-07-01,167.51548
2009-08-01,170.11392
2009-09-01,172.20396000000002
2009-10-01,172.74219
2009-11-01,175.54638
2009-12-01,176.4869
2010-01-01,177.16303
2010-02-01,175.82601
2010-03-01,176.41702
2010-04-01,178.39623999999998
2010-05-01,180.59865
2010-06-01,180.82934
2010-07-01,180.19769
2010-08-01,180.03255
2010-09-01,179.03203
2010-10-01,177.86571
2010-11-01,176.68735
2010-12-01,174.94775
2011-01-01,173.72533
2011-02-01,171.30017
2011-03-01,170.34713
2011-04-01,170.3893
2011-05-01,170.30677
2011-06-01,169.67558
2011-07-01,169.92821
2011-08-01,169.34681
2011-09-01,168.58663
2011-10-01,167.02861000000001
2011-11-01,166.50006000000002
2011-12-01,164.80671
2012-01-01,162.7831
2012-02-01,162.51516
2012-03-01,163.34322
2012-04-01,165.01188
2012-05-01,166.78717
2012-06-01,168.20951000000002
2012-07-01,170.04188
2012-08-01,172.26783
2012-09-01,173.51928
2012-10-01,174.55226000000002
2012-11-01,175.63409
2012-12-01,178.26361
2013-01-01,180.53956000000002
2013-02-01,184.40103
2013-03-01,187.84271
2013-04-01,192.2405
2013-05-01,197.30719
2013-06-01,203.05926000000002
2013-07-01,207.70645
2013-08-01,211.35892
2013-09-01,214.08035
2013-10-01,215.57553
2013-11-01,215.80741
2013-12-01,216.13315
2014-01-01,216.99551
2014-02-01,217.4835
2014-03-01,220.41089251338298
2014-04-01,222.562599361264
2014-05-01,224.847719509922
2014-06-01,225.770339897197
2014-07-01,226.80451930868801
2014-08-01,226.626774437556
2014-09-01,226.775237498492
2014-10-01,226.881364591163
2014-11-01,226.356803545881
2014-12-01,228.042357214563
2015-01-01,228.69220313259103
2015-02-01,230.977109119072
2015-03-01,232.280607201068
2015-04-01,235.133150034067
2015-05-01,237.63215005367198
2015-06-01,239.559590165087
2015-07-01,240.98870409773602
2015-08-01,241.397452079222
2015-09-01,242.479594083411
2015-10-01,242.17423775953498
2015-11-01,243.42955908665698
2015-12-01,243.871093350303
2016-01-01,245.24402865042597
2016-02-01,246.073692918831
2016-03-01,248.532041063643
2016-04-01,250.845771332036
2016-05-01,252.862614417135
2016-06-01,254.787581928886
2016-07-01,256.19685665635603
2016-08-01,256.962827146799
2016-09-01,256.607872809975
2016-10-01,256.533811635783
2016-11-01,257.599803865
2016-12-01,258.94851936998697
2017-01-01,260.935350546564
2017-02-01,263.386319830961
2017-03-01,266.307014909033
2017-04-01,268.00306252432097
2017-05-01,270.474094910717
2017-06-01,272.012061636454
2017-07-01,274.218379839123
2017-08-01,274.688757853969
2017-09-01,275.345252534086
2017-10-01,275.47407108273
2017-11-01,276.62041306638696
2017-12-01,277.98987309847803
